worker,task,utterance,matching_templates,plausible_operations,type_of_sentence
W181,2,News articles about COVID-19,TNAU523,Create(l1),command
W181,4,Or treatment,TNAU626,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) v l3)",command
W181,5,articles without vaccination or treatment,TNAU1113,"Update(l2 v l3, neg(l2) v neg(l3))",command
W181,6,NCD or NI or WHO in the headline,TNAU695,Create(l4 v l5 v l6),command
W181,7,Without 'North Ireland',TNAU756,"Update(l5, ?),Update(l5, neg(l5))",command
W181,8,National Insurance,TNAU818,"Update(?, l7)",command
W181,9,SARS-COV-2 but not COVID-19,TNAU865,"Update(l1, l8)",command
W181,12,New search for flu,TNAU1002,"Update(l8 ^ l9, l10)",command
W181,13,without COVID-19,TNAU1058,Create(neg(l1)),command
W182,2,Latest news on COVID-19,TNAU523,Create(l1),command
W182,3,Show more details about its vaccination,TNAU570,Create(l2),command
W182,5,Show articles not related to vaccination or treatment,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W182,6,"Show me articles which have NCD, NI or WHO in the headline",TNAU696,Create(l4 v l5 v l6),command
W182,7,NI is not North Ireland - update search for articles with NI in headline,TNAU747,"Update(l5, ?)",statement
W182,8,NI means National Insurance,TNAU814,"Update(?, l7)",statement
W182,9,Show new articles about SARS-CoV-2 instead of COVID-19,TNAU864,"Update(l1, l8)",command
W182,11,Show new articles related to the economy instead of those related to the headline,TNAU971,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W182,12,Show new articles about the flu,TNAU999,"Update(l8 ^ l9, l10),Create(l10)",command
W182,13,Filter and show articles which are not related to COVID-19,TNAU1063,Create(neg(l1)),command
W183,2,I want all the news items about COVID-19,TNAU528,Create(l1),statement
W183,3,I want the ones that talk about vaccination,TNAU563,Create(l2),statement
W183,4,Also include any articles about treatment,TNAU618,"Update(l2, l2 v l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W183,5,show the articles that were not about vaccination or treatment,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W183,6,"great can you refine that to articles with NCD, NI or WHO in the headline?",TNAU698,Create(l4 v l5 v l6),question
W183,7,NI does not stand for North Ireland,TNAU744,"Update(l5, ?)",statement
W183,8,NI in this case i mean National Insurance,TNAU816,"Update(?, l7)",statement
W183,9,okay new search articles on SARS-CoV-2 instead of COVID-19 with the same terms in the headline,TNAU872,"Update(l1, l8)",command
W183,10,what did I just ask to search for?,TNAU927,Read(Q10),question
W183,11,okay can you refine to articles about the economy instead of by headline,TNAU966,"Update(f1:(l4 ^ l7 ^ l6), l9)",command
W183,12,"Clear my last search, I am after articles about the flu",TNAU997,"Update(l8 ^ l9, l10)",statement
W183,13,take out any about COVID-19,TNAU1058,Create(neg(l1)),command
W184,2,show recent news about COVID-19,TNAU525,Create(l1),command
W184,4,show more news about treatment of coronavirus,TNAU631,"Update(l2, l2 v l3),Update(l1 ^ l2, l3),Update(l1 ^ l2, (l1 ^ l2) ^ l3)",command
W184,5,show more news about coronavirus that aren't about vaccination or treatment,TNAU1115,"Update(l2 v l3, neg(l2) v neg(l3))",command
W184,6,"show only the articles that have NCD, NI, or WHO in the headline",TNAU696,Create(l4 v l5 v l6),command
W184,7,where NI doesn't stand for North Ireland,TNAU744,"Update(l5, ?)",command
W184,8,NI stands for National Insurance,TNAU814,"Update(?, l7)",statement
W184,9,same query but for SARS-COV-2 and not for COVID-19,TNAU875,"Update(l1, l8)",command
W184,10,repeat previous query,TNAU922,Read(Q10),command
W184,11,"like previous query but should be focussed on economy and not NCD, NI or WHO in the headline",TNAU1148,"Update(f1:(l4 ^ l7 ^ l6), l9 ^ neg(f1:(l4 ^ l7 ^ l6)))",command
W184,12,ignore previous queries and show news articles about flu,TNAU998,"Update(l8 ^ l9, l10)",command
W184,13,exclude articles about COVID-19,TNAU1058,Create(neg(l1)),command
