a;2186369
the;6187267
be;4239632
of;3093444
and;2687863
in;1924315
to;1620850
have;1375636
it;1090186
to;1039323
for;887877
i;884599
that;760399
you;695498
he;681255
on;680739
with;675027
do;559596
at;534162
by;517171
not;465486
this;461945
but;459622
from;434532
they;433441
his;426896
that;384313
she;380257
or;373808
which;372031
as;364164
we;358039
an;343063
say;333518
will;297281
would;272345
can;266116
if;261089
their;260919
go;249540
what;249466
there;239460
all;230737
get;220940
her;218258
make;217268
who;205432
as;201968
out;201819
up;195426
see;191661
know;185534
time;183427
take;179220
them;173414
some;171174
could;168387
so;167324
him;165014
year;163930
into;163469
its;163081
then;160652
think;153881
my;152619
come;151871
than;147618
more;146029
about;144554
now;143801
last;140063
your;138334
me;138151
no;137026
other;135185
give;131417
just;128517
should;128393
these;125442
people;125430
also;124884
well;124451
any;123655
only;122128
new;115523
very;114911
when;113655
may;113024
way;112636
look;111058
like;110090
use;108820
her;108710
such;108524
how;103508
because;103003
when;102621
as;101583
good;100652
find;98899
man;97985
our;95001
want;94293
day;92699
between;91141
even;90473
there;89890
many;89659
those;88862
one;86364
after;85939
down;84446
yeah;83382
so;79028
thing;77612
tell;77245
through;75588
back;75494
still;72774
must;72059
child;71008
here;70947
over;70676
too;70164
put;69978
own;69459
on;68362
no;67999
work;67842
become;67219
more;67198
old;66999
government;66894
mean;66556
part;65773
leave;64447
life;64423
great;64369
where;64118
case;63577
woman;63087
over;62993
seem;62445
same;62402
us;62350
work;62248
need;62201
feel;62185
system;61912
each;61492
may;61446
might;61446
much;61338
ask;60879
group;60689
number;60607
yes;60592
however;60498
another;60182
again;59829
world;59094
area;58449
show;58152
course;57776
company;57754
shall;57056
under;56638
problem;56483
against;56208
never;55899
all;55704
most;54966
service;54468
try;54422
call;53396
hand;53265
party;52979
high;52703
about;52561
something;52452
school;52227
in;51652
small;51626
place;51537
before;51259
why;50877
while;50548
away;50294
keep;50092
point;49187
house;49022
different;48373
country;48177
really;48062
provide;47923
week;47512
hold;47234
large;47185
member;47141
off;46285
always;46228
next;46221
follow;46145
without;45867
turn;45487
end;45160
within;45042
local;44920
where;44496
during;44013
bring;43894
most;43792
word;43750
begin;43740
although;43635
example;43402
next;43139
family;42773
rather;42341
fact;42241
like;41909
social;41617
write;41497
state;41351
percent;41205
quite;41169
both;41162
start;41029
run;40858
long;40492
right;40460
set;40381
help;40265
every;40114
home;39850
month;39819
side;39626
night;39315
important;39265
eye;39192
head;39000
information;38656
question;38608
business;38204
play;38053
power;37963
money;37892
change;37884
move;37836
interest;37744
order;37736
book;37675
often;37640
development;37386
young;37278
national;37231
pay;36665
hear;36575
room;36360
whether;36169
water;35767
form;35758
car;35295
other;35164
yet;35058
perhaps;35039
meet;34970
level;34885
until;34807
though;34801
policy;34775
include;34753
believe;34603
council;34496
already;34292
possible;34178
nothing;34064
