word,synonyms
gasoline,"[""gas"", ""gasolene"", ""petrol""]"
anthropoidal,"[""anthropoid"", ""apelike""]"
toltec,"[""tolteca""]"
repulsion,"[""loathing"", ""aversion"", ""repugnance"", ""standoff""]"
peripetia,"[""peripeteia""]"
tovarisch,"[""tovarich""]"
oxaldehyde,"[""glyoxal""]"
boyarstvo,"[""boyardom""]"
isotonic,"[""isosmotic""]"
susurrous,"[""murmurous""]"
undergrad,"[""undergraduate""]"
xvii,"[""17"", ""seventeen""]"
leucopenia,"[""leukopenia""]"
lxxvii,"[""77""]"
epinephrin,"[""epinephrine""]"
petaampere,"[""petaamp""]"
hemostasis,"[""haemostasia"", ""haemostasis"", ""hemostasia""]"
oceanology,"[""oceanography""]"
tetramoraic,"[""quadrimoraic""]"
azores,"[""acores""]"
tube,"[""fistula"", ""subway"", ""television"", ""telly"", ""tinnie"", ""metro"", ""pipe"", ""tubing"", ""underground""]"
aperiodic,"[""nonperiodic""]"
thingummabob,"[""thingy""]"
abnormally,"[""unusually""]"
advocatress,"[""advocatrice"", ""advocatrix""]"
endocurietherapy,"[""brachytherapy""]"
knurry,"[""knotty""]"
decrypt,"[""decipher"", ""decode""]"
trisagion,"[""tersanctus""]"
attainments,"[""knowledge""]"
chitterlings,"[""chitlings"", ""chitlins""]"
chivalric,"[""knightly"", ""medieval""]"
essenceless,"[""inessential""]"
beneficient,"[""beneficent""]"
sibling,"[""sib""]"
niagara,"[""deluge""]"
shard,"[""fragment"", ""sherd"", ""sliver"", ""splinter""]"
anesthesiological,"[""anesthesiologic""]"
piling,"[""pile""]"
sit,"[""accept"", ""be"", ""seat"", ""model"", ""ride"", ""write""]"
coterminal,"[""initial""]"
darling,"[""babe"", ""beloved"", ""dear"", ""dearest"", ""dearie"", ""deary"", ""ducky"", ""favorite"", ""favourite"", ""honey"", ""idol"", ""lass"", ""love"", ""pet"", ""sister""]"
rebutter,"[""confuter"", ""disprover"", ""rebuttal"", ""refuter""]"
furtiveness,"[""sneakiness"", ""stealthiness""]"
insufferableness,"[""unsupportableness""]"
invasive,"[""encroaching"", ""incursive""]"
hanukkah,"[""channukah"", ""channukkah"", ""chanukah"", ""chanukkah"", ""hannukah"", ""hanukah""]"
shirtless,"[""topless""]"
inerrant,"[""inerrable""]"
awoken,"[""awaked""]"
overbearing,"[""arrogant"", ""authoritarian"", ""dictatorial"", ""demanding"", ""disdainful""]"
biastophilia,"[""raptophilia""]"
hackmatack,"[""tamarack"", ""tacamahac""]"
heterotypic,"[""taxonomic""]"
ǃnamiǂnûs,"[""l\u00fcderitz""]"
traipse,"[""shlep"", ""hike"", ""cover"", ""gad""]"
incapability,"[""incapableness""]"
reflexivity,"[""reflectability"", ""reflexiveness""]"
tetrapod,"[""quadruped"", ""tetrapous""]"
shelling,"[""shellfire"", ""barrage""]"
fenocycline,"[""doisynoestrol""]"
stripedness,"[""stripiness""]"
parchisi,"[""pachisi""]"
redheaded,"[""redhaired""]"
lippizan,"[""lipizzan"", ""lippizaner""]"
hierophanic,"[""hierophanical""]"
bananageddon,"[""bananapocalypse""]"
anadrome,"[""semordnilap""]"
purpurate,"[""purple""]"
floc,"[""floccule""]"
indefinity,"[""indefiniteness""]"
meganewton,"[""mn""]"
lunar,"[""moonly"", ""intermedium"", ""moonbow""]"
kenogenesis,"[""cenogenesis""]"
mucky,"[""waterlogged"", ""muddy""]"
derive,"[""accept"", ""come"", ""deduce"", ""descend"", ""educe"", ""gain""]"
assoc,"[""ass'n"", ""assn""]"
palatopharyngeus,"[""pharyngopalatinus""]"
transcarbamoylase,"[""carbamoyltransferase""]"
authorize,"[""approve"", ""authorise"", ""empower"", ""clear"", ""commission"", ""pass"", ""sanction""]"
eubacterium,"[""eubacteria""]"
lasciviously,"[""salaciously""]"
envisagable,"[""imaginable"", ""predictable""]"
smatch,"[""smack"", ""tincture""]"
chronic,"[""continuing"", ""inveterate""]"
cumberworld,"[""cumberground""]"
snotley,"[""bratley""]"
gehenna,"[""gehenom"", ""jahannam"", ""gehinnom"", ""tartarus""]"
adiposity,"[""adiposeness"", ""obesity"", ""fattiness""]"
berrylike,"[""baccate""]"
quietly,"[""noiselessly"", ""quiet"", ""restfully"", ""softly""]"
countercheck,"[""counteract""]"
roseate,"[""rosaceous"", ""rose""]"
leasow,"[""pasture""]"
ethylmorphine,"[""codethyline"", ""dionine""]"
unmerciful,"[""merciless""]"
crozier,"[""crosier""]"
indent,"[""dent"", ""indentation"", ""indenture""]"
gourd,"[""calabash"", ""fullam"", ""pepo""]"
crimeless,"[""crimefree""]"
barbed,"[""barbellate"", ""bearded"", ""biting"", ""mordacious"", ""nipping"", ""pungent""]"
crimebuster,"[""gangbuster""]"
particularized,"[""particularised""]"
alternative,"[""alternate"", ""option"", ""fringe"", ""substitute""]"
sporangium,"[""capsule""]"
biscuitlike,"[""biscuity"", ""cookielike""]"
facty,"[""factful""]"
defenceless,"[""defencelessly"", ""defenseless"", ""vulnerable"", ""weak""]"
celestialize,"[""celestify""]"
vulturine,"[""vulturelike"", ""vulturish"", ""vulturous"", ""predatory""]"
tact,"[""address"", ""tactfulness""]"
septenarius,"[""heptaseme""]"
it'll,"[""twill""]"
enquirer,"[""inquirer""]"
exfil,"[""exfiltration""]"
counterflowered,"[""counterflory""]"
